ir_raw,ir_ac,red_raw,bpm
12973.0,1271.4,8759.0,0.0
11946.0,234.6,8045.0,0.0
11548.0,-156.8,7756.0,0.0
12107.0,386.1,8129.0,0.0
12325.0,579.9,8287.0,0.0
12374.0,603.8,8320.0,0.0
11788.0,17.0,7927.0,0.0
10839.0,-894.7,7271.0,0.0
11200.0,-512.3,7473.0,0.0
10822.0,-854.7,7295.0,0.0
6338.0,-5125.2,4398.0,0.0
1609.0,-9460.0,1108.0,0.0
1228.0,-9447.4,817.0,0.0
1192.0,-9104.0,782.0,0.0
1190.0,-8741.8,781.0,0.0
1196.0,-8386.4,784.0,0.0
1211.0,-8036.5,798.0,0.0
1247.0,-7680.5,825.0,0.0
1297.0,-7325.3,872.0,0.0
1377.0,-6955.4,937.0,0.0
1650.0,-6415.2,1154.0,0.0
2165.0,-5664.1,1584.0,0.0
2746.0,-4879.8,2074.0,0.0
4833.0,-2681.1,3789.0,0.0
6898.0,-591.5,5571.0,0.0
7032.0,-439.2,5736.0,0.0
7518.0,45.0,6111.0,0.0
7787.0,301.4,6356.0,0.0
8925.0,1381.8,7270.0,0.0
15149.0,7301.6,12491.0,0.0
25200.0,16658.5,21319.0,0.0
32197.0,22709.3,27821.0,0.0
34661.0,24166.3,30732.0,0.0
37657.0,26075.8,32858.0,0.0
48090.0,35048.5,42092.0,0.0
57302.0,42490.1,51688.0,0.0
62069.0,45366.8,57264.0,0.0
64416.0,45805.2,61434.0,0.0
66237.0,45721.2,65031.0,0.0
66538.0,44181.3,66057.0,0.0
63711.0,39700.1,68265.0,0.0
60587.0,35113.1,69845.0,0.0
59674.0,32832.1,70972.0,0.0
59880.0,31716.6,71751.0,0.0
60158.0,30714.8,72467.0,0.0
61715.0,30980.9,74852.0,0.0
63733.0,31678.9,77860.0,0.0
64823.0,31458.2,79507.0,0.0
65036.0,30404.3,79987.0,0.0
65257.0,29400.3,80434.0,0.0
65383.0,28345.3,80678.0,0.0
65453.0,27278.7,80796.0,0.0
65525.0,26256.6,80917.0,0.0
65427.0,25112.3,80801.0,0.0
65389.0,24071.3,80745.0,0.0
65379.0,23098.9,80718.0,0.0
65329.0,22126.9,80632.0,0.0
65330.0,21242.8,80621.0,0.0
65234.0,20300.9,80447.0,0.0
65206.0,19462.0,80383.0,0.0
65124.0,18604.8,80242.0,0.0
65043.0,17782.9,80107.0,0.0
65021.0,17050.4,80066.0,0.0
65024.0,16371.3,80069.0,0.0
65052.0,15743.3,80102.0,0.0
65055.0,15116.5,80099.0,0.0
65059.0,14515.6,80096.0,0.0
65025.0,13902.4,80040.0,0.0
64984.0,13306.9,79962.0,0.0
64946.0,12738.2,79886.0,0.0
64903.0,12187.4,79814.0,0.0
64764.0,11566.4,79610.0,0.0
64635.0,10979.9,79391.0,0.0
64606.0,10512.9,79327.0,0.0
64621.0,10106.8,79341.0,0.0
64652.0,9732.3,79381.0,0.0
64680.0,9369.8,79417.0,0.0
64688.0,9002.7,79422.0,0.0
64688.0,8642.6,79440.0,0.0
64666.0,8275.8,79399.0,0.0
64663.0,7941.9,79380.0,0.0
64671.0,7631.9,79385.0,0.0
64688.0,7342.9,79414.0,0.0
64654.0,7016.6,79343.0,0.0
64654.0,6735.9,79343.0,0.0
64676.0,6487.6,79381.0,0.0
64686.0,6237.7,79393.0,0.0
64656.0,5959.4,79357.0,0.0
64541.0,5610.6,79180.0,0.0
64469.0,5317.1,79054.0,0.0
64465.0,5100.5,79041.0,0.0
64481.0,4911.9,79052.0,0.0
64505.0,4738.4,79085.0,0.0
64507.0,4550.8,79071.0,0.0
64515.0,4376.5,79081.0,0.0
64503.0,4189.9,79069.0,0.0
64491.0,4010.8,79042.0,0.0
64506.0,3864.7,79067.0,0.0
64505.0,3709.2,79066.0,0.0
64508.0,3563.7,79050.0,0.0
64516.0,3428.8,79072.0,0.0
64535.0,3309.9,79096.0,0.0
64546.0,3188.1,79116.0,0.0
64568.0,3081.7,79151.0,0.0
64519.0,2911.4,79090.0,0.0
64435.0,2714.3,78957.0,0.0
64375.0,2548.1,78844.0,0.0
64360.0,2431.8,78815.0,0.0
64366.0,2340.3,78809.0,0.0
64376.0,2256.3,78810.0,0.0
64393.0,2182.3,78829.0,0.0
64404.0,2105.6,78844.0,0.0
64393.0,2010.8,78845.0,0.0
64389.0,1926.6,78830.0,0.0
64407.0,1866.8,78850.0,0.0
64408.0,1793.1,78845.0,0.0
64414.0,1727.1,78851.0,0.0
64420.0,1663.8,78864.0,0.0
64415.0,1592.4,78855.0,0.0
64425.0,1538.3,78865.0,0.0
64412.0,1464.3,78856.0,0.0
64389.0,1383.7,78819.0,0.0
64317.0,1259.2,78721.0,0.0
64246.0,1140.7,78601.0,0.0
64235.0,1084.5,78568.0,0.0
64248.0,1053.6,78590.0,0.0
64273.0,1035.4,78635.0,0.0
64284.0,1004.6,78646.0,0.0
64285.0,965.4,78639.0,0.0
64266.0,908.5,78619.0,0.0
64259.0,865.4,78604.0,0.0
64244.0,816.4,78574.0,0.0
64245.0,784.7,78561.0,0.0
64259.0,766.8,78587.0,0.0
64286.0,762.0,78638.0,0.0
64293.0,738.3,78654.0,0.0
64323.0,737.5,78704.0,0.0
64326.0,710.9,78705.0,0.0
64338.0,694.0,78723.0,0.0
64329.0,657.6,78725.0,0.0
64258.0,563.1,78631.0,0.0
64201.0,485.9,78537.0,0.0
64183.0,449.2,78493.0,0.0
64217.0,463.8,78539.0,0.0
64238.0,465.5,78552.0,0.0
64263.0,470.8,78593.0,0.0
64277.0,465.4,78621.0,0.0
64290.0,459.3,78641.0,0.0
64299.0,449.6,78662.0,0.0
64317.0,448.9,78687.0,0.0
64358.0,470.3,78746.0,0.0
64384.0,476.4,78794.0,0.0
64405.0,477.5,78825.0,0.0
64416.0,469.0,78845.0,0.0
64404.0,438.7,78822.0,0.0
64392.0,409.6,78792.0,0.0
64375.0,376.9,78759.0,0.0
64369.0,356.1,78764.0,0.0
64304.0,279.4,78665.0,0.0
64207.0,175.2,78506.0,0.0
64177.0,139.3,78448.0,0.0
64183.0,139.5,78435.0,0.0
64192.0,142.6,78440.0,0.0
64214.0,158.0,78469.0,0.0
64233.0,169.9,78498.0,0.0
64233.0,163.1,78513.0,0.0
64228.0,151.8,78515.0,0.0
64227.0,144.8,78505.0,0.0
64242.0,153.4,78527.0,0.0
64244.0,149.2,78522.0,0.0
64244.0,143.2,78514.0,0.0
64262.0,154.8,78547.0,0.0
64271.0,157.2,78569.0,0.0
64285.0,164.4,78602.0,0.0
64300.0,172.2,78634.0,0.0
64307.0,172.0,78648.0,0.0
64291.0,149.8,78628.0,0.0
64188.0,44.9,78465.0,0.0
64126.0,-16.4,78340.0,0.0
64112.0,-29.2,78313.0,0.0
64140.0,-1.2,78357.0,0.0
64162.0,20.0,78388.0,0.0
64184.0,40.3,78416.0,0.0
64186.0,40.6,78422.0,0.0
64168.0,21.7,78406.0,0.0
64169.0,21.8,78407.0,0.0
64181.0,32.5,78423.0,0.0
64194.0,43.7,78449.0,0.0
64209.0,56.3,78463.0,0.0
64221.0,65.6,78489.0,0.0
64230.0,71.6,78510.0,0.0
64232.0,70.6,78519.0,0.0
64245.0,80.3,78537.0,0.0
64255.0,86.7,78564.0,0.0
64244.0,72.7,78544.0,0.0
64201.0,28.5,78486.0,0.0
64108.0,-61.9,78348.0,0.0
64074.0,-92.1,78273.0,0.0
64082.0,-80.7,78282.0,0.0
64093.0,-67.0,78302.0,0.0
64114.0,-44.1,78324.0,0.0
64140.0,-17.4,78364.0,0.0
64147.0,-10.0,78386.0,0.0
64141.0,-15.3,78398.0,0.0
64143.0,-12.8,78399.0,0.0
64161.0,5.0,78416.0,0.0
64177.0,20.2,78447.0,0.0
64197.0,38.5,78472.0,0.0
64202.0,41.8,78484.0,0.0
64209.0,46.9,78499.0,0.0
